episode,steps,reward,result,goal_x,goal_y
582,21,235.48,goal,0.600,0.000
583,111,217.40,goal,-0.550,-0.650
584,17,233.49,goal,0.500,0.200
585,131,216.94,goal,-0.600,-0.750
586,37,226.62,goal,-0.500,-0.150
587,122,219.29,goal,-0.650,-0.750
588,19,235.21,goal,0.600,0.000
589,43,242.96,goal,0.750,0.650
590,16,233.09,goal,0.500,0.200
591,47,240.15,goal,0.500,0.750
592,34,227.94,goal,-0.500,-0.150
593,93,231.01,goal,0.650,0.850
594,22,236.69,goal,0.600,0.000
595,59,235.46,goal,-0.700,-0.600
596,14,235.67,goal,0.500,0.200
597,61,238.78,goal,-0.750,-0.550
598,38,227.36,goal,-0.500,-0.150
599,48,240.07,goal,0.600,0.750
600,24,235.41,goal,0.600,0.000
601,59,242.65,goal,0.800,0.800
602,16,234.47,goal,0.500,0.200
603,96,232.18,goal,0.900,0.700
604,31,227.19,goal,-0.500,-0.150
605,56,236.44,goal,-0.550,-0.650
606,17,236.82,goal,0.600,0.000
607,127,218.31,goal,-0.600,-0.750
608,17,232.63,goal,0.500,0.200
609,80,233.81,goal,-0.650,-0.750
610,33,225.73,goal,-0.500,-0.150
611,38,243.68,goal,0.750,0.650
612,20,234.93,goal,0.600,0.000
613,45,238.89,goal,0.500,0.750
614,14,235.22,goal,0.500,0.200
615,85,232.86,goal,0.650,0.850
616,34,226.02,goal,-0.500,-0.150
617,59,235.58,goal,-0.700,-0.600
618,24,233.02,goal,0.600,0.000
619,60,236.98,goal,-0.750,-0.550
620,15,233.05,goal,0.500,0.200
621,45,240.99,goal,0.600,0.750
622,33,226.86,goal,-0.500,-0.150
623,57,241.99,goal,0.800,0.800
624,23,233.64,goal,0.600,0.000
625,100,230.58,goal,0.900,0.700
626,15,236.50,goal,0.500,0.200
627,60,233.14,goal,-0.550,-0.650
628,33,227.90,goal,-0.500,-0.150
629,112,221.96,goal,-0.600,-0.750
630,21,237.66,goal,0.600,0.000
631,107,225.72,goal,-0.650,-0.750
632,14,236.63,goal,0.500,0.200
633,38,243.86,goal,0.750,0.650
634,31,226.44,goal,-0.500,-0.150
635,47,239.38,goal,0.500,0.750
636,18,234.77,goal,0.600,0.000
637,102,227.38,goal,0.650,0.850
638,16,232.14,goal,0.500,0.200
639,65,234.59,goal,-0.700,-0.600
640,30,230.12,goal,-0.500,-0.150
641,59,236.93,goal,-0.750,-0.550
642,16,235.16,goal,0.600,0.000
643,39,242.42,goal,0.600,0.750
644,16,234.54,goal,0.500,0.200
645,89,232.91,goal,0.800,0.800
646,32,228.37,goal,-0.500,-0.150
647,118,224.93,goal,0.900,0.700
648,21,233.91,goal,0.600,0.000
649,65,232.29,goal,-0.550,-0.650
650,15,232.77,goal,0.500,0.200
651,76,-124.06,collision,-0.600,-0.750
652,32,226.63,goal,-0.500,-0.150
653,107,224.20,goal,-0.650,-0.750
654,20,235.09,goal,0.600,0.000
655,49,241.28,goal,0.750,0.650
656,15,234.87,goal,0.500,0.200
657,38,241.01,goal,0.500,0.750
658,33,227.73,goal,-0.500,-0.150
659,119,222.34,goal,0.650,0.850
660,18,235.25,goal,0.600,0.000
661,62,234.47,goal,-0.700,-0.600
662,15,233.88,goal,0.500,0.200
663,70,232.79,goal,-0.750,-0.550
664,30,227.09,goal,-0.500,-0.150
665,39,242.50,goal,0.600,0.750
666,20,237.54,goal,0.600,0.000
667,86,234.35,goal,0.800,0.800
668,14,236.14,goal,0.500,0.200
669,97,231.54,goal,0.900,0.700
670,36,226.76,goal,-0.500,-0.150
671,70,229.39,goal,-0.550,-0.650
672,20,235.75,goal,0.600,0.000
673,109,223.03,goal,-0.600,-0.750
674,17,232.88,goal,0.500,0.200
675,108,223.98,goal,-0.650,-0.750
676,32,228.80,goal,-0.500,-0.150
677,49,240.90,goal,0.750,0.650
678,24,234.99,goal,0.600,0.000
679,43,239.96,goal,0.500,0.750
680,14,235.36,goal,0.500,0.200
681,106,226.43,goal,0.650,0.850
682,31,227.70,goal,-0.500,-0.150
683,57,235.83,goal,-0.700,-0.600
684,19,236.55,goal,0.600,0.000
685,63,234.44,goal,-0.750,-0.550
686,14,233.81,goal,0.500,0.200
687,54,238.03,goal,0.600,0.750
688,36,227.32,goal,-0.500,-0.150
689,122,223.01,goal,0.800,0.800
690,21,236.90,goal,0.600,0.000
691,125,223.46,goal,0.900,0.700
692,15,234.55,goal,0.500,0.200
693,57,234.37,goal,-0.550,-0.650
694,30,228.83,goal,-0.500,-0.150
